Id,Label
plant,plant
consider,consider
together,together
tough,tough
early,early
mid,mid
confirmed,confirmed
decrease,decrease
sun,sun
inner,inner
question,question
attack,attack
company,company
catch,catch
display,display
air,air
force,force
singapore,singapore
interview,interview
infected,infected
cop,cop
southwest,southwest
still,still
phase,phase
effect,effect
infection,infection
lift,lift
restriction,restriction
product,product
administration,administration
resident,resident
parent,parent
present,present
struggle,struggle
white,white
power,power
strength,strength
exclusive,exclusive
behind,behind
direct,direct
inside,inside
twitter,twitter
dead,dead
diagnose,diagnose
ask,ask
praise,praise
appreciation,appreciation
hit,hit
eastern,eastern
taiwan,taiwan
network,network
extreme,extreme
xinjiang,xinjiang
uygur,uygur
makeshift,makeshift
dance,dance
video,video
viral,viral
protect,protect
creative,creative
highly,highly
appreciate,appreciate
happiness,happiness
peace,peace
mount,mount
tree,tree
already,already
attract,attract
keep,keep
towards,towards
holiday,holiday
transportation,transportation
register,register
trip,trip
vice,vice
claim,claim
life,life
source,source
mountain,mountain
laboratory,laboratory
image,image
reaction,reaction
much,much
resolutely,resolutely
spectacular,spectacular
achieve,achieve
yuan,yuan
credit,credit
restore,restore
mobilize,mobilize
resource,resource
italy,italy
zimbabwe,zimbabwe
kill,kill
key,key
figure,figure
another,another
macao,macao
difficulty,difficulty
temporary,temporary
leader,leader
recently,recently
agreement,agreement
change,change
amazing,amazing
class,class
college,college
institute,institute
message,message
hope,hope
avoid,avoid
politicize,politicize
square,square
train,train
ongoing,ongoing
schedule,schedule
cancel,cancel
account,account
exchange,exchange
would,would
rice,rice
father,father
something,something
might,might
bad,bad
old,old
boy,boy
child,child
write,write
letter,letter
southeast,southeast
spend,spend
store,store
multiple,multiple
friend,friend
thank,thank
fiscal,fiscal
positive,positive
growth,growth
soon,soon
agency,agency
governor,governor
thanks,thanks
assistance,assistance
trust,trust
enhance,enhance
focus,focus
project,project
premier,premier
standard,standard
clinical,clinical
suspected,suspected
manage,manage
group,group
couple,couple
various,various
worth,worth
isolation,isolation
shake,shake
malaysia,malaysia
phone,phone
prime,prime
sport,sport
association,association
toll,toll
remains,remains
isolate,isolate
nit,nit
via,via
respiratory,respiratory
gas,gas
several,several
member,member
leadership,leadership
party,party
military,military
personnel,personnel
become,become
tang,tang
rural,rural
village,village
hear,hear
teacher,teacher
language,language
explain,explain
full,full
safe,safe
rare,rare
male,male
dream,dream
want,want
nurse,nurse
shop,shop
board,board
customer,customer
contact,contact
pick,pick
delivery,delivery
staff,staff
safety,safety
arm,arm
symptom,symptom
traditional,traditional
fun,fun
rally,rally
sound,sound
collect,collect
wildlife,wildlife
joint,joint
mechanism,mechanism
education,education
poor,poor
cause,cause
best,best
young,young
month,month
baby,baby
girl,girl
concern,concern
japanese,japanese
factory,factory
close,close
suffer,suffer
loss,loss
last,last
could,could
able,able
even,even
overcome,overcome
volunteer,volunteer
quarantine,quarantine
elderly,elderly
korean,korean
platform,platform
duty,duty
relate,relate
implement,implement
sit,sit
flu,flu
never,never
demand,demand
manufacturer,manufacturer
produce,produce
necessity,necessity
visit,visit
professor,professor
economist,economist
republic,republic
democratic,democratic
per,per
person,person
expect,expect
pic,pic
wild,wild
panda,panda
villager,villager
house,house
twice,twice
special,special
target,target
investigate,investigate
liberation,liberation
army,army
participate,participate
island,island
fatality,fatality
main,main
african,african
union,union
decisive,decisive
law,law
rush,rush
save,save
data,data
recovery,recovery
hug,hug
ward,ward
whole,whole
extend,extend
common,common
form,form
investigation,investigation
especially,especially
farmer,farmer
vegetable,vegetable
shut,shut
major,major
capacity,capacity
cure,cure
significantly,significantly
remote,remote
car,car
buy,buy
weekly,weekly
speed,speed
donation,donation
cross,cross
society,society
grow,grow
domestically,domestically
disinfection,disinfection
process,process
statistic,statistic
light,light
building,building
lantern,lantern
festival,festival
united,united
curb,curb
remarkable,remarkable
warn,warn
glove,glove
zone,zone
distribute,distribute
film,film
landmark,landmark
strong,strong
happy,happy
healthy,healthy
